#VHFLeftMammaryGland,8
#VHFRightMammaryGland,8
#VHFSkin,1
#VHFAllenBrain,283
#VHMAllenBrain,283
#VHFLymphNode,7
#VHMLymphNode,7
#VHFLargeIntestine,10
#VHMLargeIntestine,0
#VHFBloodVasculature,108
#VHFLeftEye,23
#VHFRightEye,23
#VHFLeftFallopianTube,4
#VHFRightFallopianTube,4
#VHFHeart,14
#VHFLeftKidney,15
#VHFRightKidney,14
#VHFLeftKnee,20
#VHFRightKnee,20
#VHFLiver,26
#VHFLung,65
#VHFLeftOvary,1
#VHFRightOvary,1
#VHFPancreas,5
#VHFPelvis,14
#VHFPlacenta,8
#VHFSmallIntestine,9
#VHFSpinalCord,29
#VHFSpleen,5
#VHFThymus,2
#VHFLeftUreter,27
#VHFRightUreter,25
#VHFUrinaryBladder,6
#VHFUterus,10
#VHMBloodVasculature,104
#VHMLeftEye,23
#VHMRightEye,23
#VHMHeart,14
#VHMLeftKidney,22
#VHMRightKidney,24
#VHMLeftKnee,20
#VHMRightKnee,20
#VHMLiver,26
#VHMLung,67
#VHMPancreas,5
#VHMPelvis,14
#VHMProstate,18
#VHMSkin,1
#VHMSmallIntestine,10
#VHMSpinalCord,30
#VHMSpleen,5
#VHMThymus,2
#VHMLeftUreter,14
#VHMRightUreter,13
#VHMUrinaryBladder,6
