source,target,x_scaling,y_scaling,z_scaling,x_rotation,y_rotation,z_rotation,x_translation,y_translation,z_translation,translation_units
http://purl.org/ccf/latest/ccf.owl#VHFAllenBrain,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFBloodVasculature,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFColon,http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,0.94,1.11,0.94,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFColonObj,http://purl.org/ccf/latest/ccf.owl#VHFColon,1.0,1.0,1.0,-90.0,0.0,0.0,128.4465,9.303741,106.3589,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFHeart,http://purl.org/ccf/latest/ccf.owl#VHFHeartV1.1,0.894,1.048,0.894,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFHeartObj,http://purl.org/ccf/latest/ccf.owl#VHFHeart,1.0,1.0,1.0,-90.0,0.0,0.0,32.25876,-362.738,58.16093,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFHeartV1.1,https://purl.humanatlas.io/ref-organ/heart-female/v1.3#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLargeIntestine,https://purl.humanatlas.io/ref-organ/large-intestine-female/v1.3#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLarynx,https://purl.humanatlas.io/ref-organ/larynx-female/v1.1#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLeftEye,https://purl.humanatlas.io/ref-organ/eye-female-left/v1.3#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLeftFallopianTube,https://purl.humanatlas.io/ref-organ/fallopian-tube-female-left/v1.2#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,0.94,1.097,0.94,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyObj,http://purl.org/ccf/latest/ccf.owl#VHFLeftKidney,1.0,1.0,1.0,-90.0,0.0,0.0,-50.00427,-161.0831,98.10036,millimeter
http://purl.org/ccf/latest/ccf.owl#VHFLeftKidneyV1.1,https://purl.humanatlas.io/ref-organ/kidney-female-left/v1.3#primary,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,millimeter
